,Sample,Reactor,Media,Date,Hours,OD600,Lactate_mM,Acetate_mM,Formate_mM,Pyruvate_mM,Chloride_mM,Nitrite_mM,Nitrate_mM,Sulfate_mM,Phosphate_mM,Na_mM,NH4_mM,K_mM,Mg_mM,Ca_mM
19,I_cal_20_A2_1-31,A2,20:5 lac:nit,1/31/19 15:45,51.25,0.203,17.267127,0.6082996,0.347425,0.791531,15.32677065,0.277795892,0.0,4.016448053,4.811132615,183.5018571,5.90165752,4.044452402,6.0678872660000005,2.114875992
20,I_cal_21_A3_1-31,A3,30:20 lac:nit,1/31/19 15:45,51.25,0.17600000000000002,27.033286999999998,0.5397588000000001,0.30600459999999996,0.965825,15.9862353,7.05010325,10.6885101,3.3320841139999997,4.6319207680000005,204.252453,6.123953656,3.952120313,5.958033326,2.032536554
21,I_cal_22_A1_1-31,A1,20:30 lac:nit,1/31/19 17:00,52.5,0.21,16.728552,0.2741632,0.312908,1.052972,9.392717118,8.157374198,19.37104971,4.098480117,4.511042272,209.1363158,6.008647928999999,3.984347025,5.971199342,2.0712111380000002
22,I_cal_23_A2_1-31,A2,20:5 lac:nit,1/31/19 17:00,52.5,0.184,17.978046,0.5825968,0.3612318,0.762482,14.08794742,0.28170851,0.403516496,3.997501562,4.636764331,176.2242918,6.197682798,4.016829505,6.130837276,2.083187784
23,I_cal_24_A3_1-31,A3,30:20 lac:nit,1/31/19 17:00,52.5,0.19699999999999998,27.05483,0.4455152,0.30600459999999996,1.082021,14.78859335,8.164329964,9.623110432,3.4251509469999997,4.578009801,221.77670600000002,6.171073785,4.015806435,6.074058836,3.308049304
27,I_cal_28A1_2-1,A1,20:30 lac:nit,2/1/19 14:15,73.75,0.28800000000000003,14.933302,0.4797856,0.312908,1.324096,8.226102163,12.59167482,14.45982495,3.4253591510000003,4.645819689,189.06646709999998,5.954321192999999,3.98281242,6.159637935,2.074704327
28,I_cal_29_A2_2-1,A2,20:5 lac:nit,2/1/19 14:15,73.75,0.21899999999999997,17.080420999999998,1.2508696000000001,0.32671479999999997,0.0,11.17141004,0.0,0.0,4.172600458,4.864411812,139.8142913,7.676700482,3.854417106,6.281012137,2.135835122
29,I_cal_30_A3_2-1,A3,30:20 lac:nit,2/1/19 14:15,73.75,0.272,24.986701999999998,0.471218,0.36813520000000005,1.69205,11.9267763,13.07683947,3.971299042,4.044555486,4.662456276,193.37435559999997,6.021398082,4.001739219,6.23575396,2.122610909
30,I_cal_31_A1_2-2,A1,20:30 lac:nit,2/2/19 10:00,93.5,0.297,14.904578,0.5140560000000001,0.30600459999999996,1.614586,7.744901701,13.01771547,14.15726822,3.442640017,4.826295074,180.38527630000002,6.126171074,3.937285795,6.051841185,2.047008334
31,I_cal_32_A2_2-2,A2,20:5 lac:nit,2/2/19 10:00,93.5,0.228,16.419769,1.8334664,0.2991012,0.0,9.845147096,0.0,0.0,4.8644597130000005,5.06552499,147.4061755,10.52441931,3.6531280369999997,6.451758897,2.2211687209999997
