Treatment,Supplement,Measurement,Timepoint,Replicate,Concentration (mM),Hours
Sulf,Gly,Nitrate,T3,1,18.69645357,137
Sulf,Gly,Nitrate,T3,2,19.05166786,137
Sulf,Gly,Nitrate,T3,3,17.91033571,137
Sulf,Gly,Nitrate,T4,1,0,213
Sulf,Gly,Nitrate,T4,2,0,213
Sulf,Gly,Nitrate,T4,3,0,213
Sulf,None,Ammonium,T1,1,3.369637143,42
Sulf,None,Ammonium,T1,2,4.910164286,42
Sulf,None,Ammonium,T1,3,4.648735714,42
Sulf,None,Ammonium,T2,1,3.537365714,93
Sulf,None,Ammonium,T2,2,4.64445,93
Sulf,None,Ammonium,T2,3,4.0278,93
Sulf,None,Ammonium,T3,1,3.791521429,137
Sulf,None,Ammonium,T3,2,4.211178571,137
Sulf,None,Ammonium,T3,3,3.956617857,137
Sulf,None,Ammonium,T4,1,2.298241786,213
Sulf,None,Ammonium,T4,2,4.132617857,213
Sulf,None,Ammonium,T4,3,4.092,213
Sulf,None,Nitrite,T1,1,1.799706786,42
Sulf,None,Nitrite,T1,2,1.740719643,42
Sulf,None,Nitrite,T1,3,1.577652143,42
Sulf,None,Nitrite,T2,1,5.2587,93
Sulf,None,Nitrite,T2,2,5.149996429,93
Sulf,None,Nitrite,T2,3,6.557757143,93
Sulf,None,Nitrite,T3,1,8.929303571,137
Sulf,None,Nitrite,T3,2,10.66934643,137
Sulf,None,Nitrite,T3,3,20.02331786,137
Sulf,None,Nitrite,T4,1,13.53464286,213
Sulf,None,Nitrite,T4,2,16.25645714,213
Sulf,None,Nitrite,T4,3,15.79482857,213
Sulf,None,TON,T1,1,24.44280714,42
Sulf,None,TON,T1,2,26.36123571,42
Sulf,None,TON,T1,3,25.45416071,42
Sulf,None,TON,T2,1,27.64900357,93
Sulf,None,TON,T2,2,29.43094643,93
Sulf,None,TON,T2,3,33.84598929,93
Sulf,None,TON,T3,1,24.70715,137
Sulf,None,TON,T3,2,33.47335,137
Sulf,None,TON,T3,3,35.161525,137
Sulf,None,TON,T4,1,9.303764286,213
Sulf,None,TON,T4,2,10.96663571,213
Sulf,None,TON,T4,3,12.11208571,213
Sulf,None,Nitrate,T1,1,22.64310036,42
Sulf,None,Nitrate,T1,2,24.62051607,42
Sulf,None,Nitrate,T1,3,23.87650857,42
Sulf,None,Nitrate,T2,1,22.39030357,93
Sulf,None,Nitrate,T2,2,24.28095,93
Sulf,None,Nitrate,T2,3,27.28823214,93
Sulf,None,Nitrate,T3,1,15.77784643,137
Sulf,None,Nitrate,T3,2,22.80400357,137
Sulf,None,Nitrate,T3,3,15.13820714,137
Sulf,None,Nitrate,T4,1,0,213
Sulf,None,Nitrate,T4,2,0,213
Sulf,None,Nitrate,T4,3,0,213
