transcrip_name,Regular.earlylog.1,Regular.earlylog.2,Regular.earlylog.3,Regular.midlog.1,Regular.midlog.2,Regular.midlog.3,Regular.latelog.1,Regular.latelog.2,Regular.latelog.3,Regular.stationary.1,Regular.stationary.2,Regular.stationary.3,Cysteine.inhibition.earlylog.1,Cysteine.inhibition.earlylog.2,Cysteine.inhibition.earlylog.3,Cysteine.inhibition.midlog.1,Cysteine.inhibition.midlog.2,Cysteine.inhibition.midlog.3,Cysteine.inhibition.latelog.1,Cysteine.inhibition.latelog.2,Cysteine.inhibition.latelog.3,Cysteine.inhibition.stationary.1,Cysteine.inhibition.stationary.2,Cysteine.inhibition.stationary.3,Sulfide.inhibition.earlylog.1,Sulfide.inhibition.earlylog.2,Sulfide.inhibition.earlylog.3,Sulfide.inhibition.midlog.1,Sulfide.inhibition.midlog.2,Sulfide.inhibition.midlog.3,Sulfide.inhibition.latelog.1,Sulfide.inhibition.latelog.2,Sulfide.inhibition.latelog.3,Sulfide.inhibition.stationary.1,Sulfide.inhibition.stationary.2,Sulfide.inhibition.stationary.3,Cysteine.injection.midlog.10hours.1,Cysteine.injection.midlog.10hours.2,Cysteine.injection.midlog.10hours.3,Cysteine.injection.midlog.23hours.1,Sulfide.injection.midlog.23hours.2,Sulfide.injection.midlog.23hours.3,Sulfide.injection.midlog.23hours.1,Sulfide.injection.midlog.10hours.2,Sulfide.injection.midlog.10hours.3,Sulfide.injection.midlog.10hours.1,Cysteine.injection.midlog.23hours.2,Cysteine.injection.midlog.23hours.3
Ga0242637_111,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,2.452468344,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351
Ga0242637_1110,1.764951351,2.422088851,2.4500833419999997,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,2.506512943,1.764951351,2.58606159,1.764951351,2.4697179680000003,2.350359106,2.392844266,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,2.653701924,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,3.19781202,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,1.764951351,2.685057094
Ga0242637_11100,9.647210968,9.712474843999999,9.972836685,9.11368922,9.240557625,8.93417285,7.662034101000001,7.326369027999999,7.402544516,6.501520205,7.525881571,6.59026719,11.913286099999999,12.02809175,11.81501291,8.061966307999999,8.046959082999999,7.978161755,7.174141366000001,7.15640113,7.367425752999999,7.0068739110000005,7.400068956,7.138128712,9.62771978,9.130627106,10.24211123,9.692036211,8.778660208,8.911281602999999,6.423343485,6.269445075,6.46854692,7.805206566,7.230475016000001,6.968215809,8.615871965,8.29385879,8.473396296,8.645503328,8.654121037000001,7.938395996000001,8.193366842,6.309007232000001,5.737211476000001,6.164487599,8.697108911,8.845632516
Ga0242637_111000,8.964015614,8.960564869,9.058445771,9.328670367,9.299505134,9.287763997,9.446803201,9.308884832999999,9.19240863,9.314530433,8.991303609,8.852644714,8.451601992999999,8.401192252000001,8.416186836,8.745279292000001,8.895759287999999,8.985894024,8.986358812,9.244397668,9.313748505,9.250084264,9.236048164,9.195935528,8.982019252999999,9.258856698999999,8.982157649,8.361621021,8.370980472000001,8.481645125,9.258182881,9.33700413,9.287840282000001,8.838030188,8.479918224,8.79979915,9.12835015,8.847399187,8.845845257,8.156454192,9.76074113,9.638828098,9.831953509,9.171199664,8.878948357,9.252720427,8.034764335,8.068364611
Ga0242637_111001,7.7806132120000004,7.599761105,7.646932725,8.455718817000001,8.530247079,8.508583005,8.462083086,8.442209144,8.424706065,8.314123228,6.91801882,6.721584572,8.776837257999999,8.565762589,8.527771719,8.83169885,9.23488007,9.335930742,9.503904918,8.759054393,8.779302934,7.914815751,7.790446735,8.320881511,8.474988242,8.557174241,8.548439958,7.856790652999999,7.746486816,7.928560598,9.234921924,9.265836914,8.712527286,8.240157753,8.294189232999999,8.718507392000001,9.643319496,9.45576397,9.762752486,9.514956963,9.954827853,9.554751925,9.853553541,9.20303483,8.917023228,8.885756947,9.380872411,9.605331123
Ga0242637_111002,7.763095077000001,7.534248465,7.658135731000001,8.358965944,8.258464002,8.298257897000001,8.360924385,8.262132585,8.381675996,8.990546088,7.285500167,7.033786479,8.040109832,8.043004279,8.085445501,9.043677328,9.185435276,9.439254549,9.955426141,9.800460085,9.757111414,9.088155784,8.932310374,9.242324448,8.387533984,8.391180008,8.362476202,8.13351537,7.824495429,7.760167301,9.183198395,9.371313059,8.79729788,8.412153448,8.33408479,8.662357864,9.616830367,9.099797691000001,9.316065375,9.410359528999999,9.932510092000001,9.307092787,9.994380811000001,8.852545596,8.969729653,8.864828256000001,9.268232381,9.523606034
Ga0242637_111003,11.35400402,11.36535079,11.336744699999999,11.74693096,11.79590254,11.775733599999999,11.66108611,11.66385455,11.67502447,11.65115852,13.26302824,12.23291442,11.30448728,11.29138331,11.16803439,11.07077759,10.89842915,10.81953786,10.53471241,10.18604516,10.29539661,9.178306762,8.687234923,9.330853614,10.94558531,10.76936833,11.49319133,11.11233796,10.93669384,11.16725427,11.48629014,11.39739966,11.5952958,11.61984715,11.65203009,11.47178418,11.2068482,11.20978893,11.15817843,10.68680123,12.5521885,12.26923452,12.48538782,11.79545807,12.00022738,11.84341271,10.74882974,10.62931309
Ga0242637_111004,10.19420042,10.2885926,10.17544389,9.795484281,9.783965906,9.832877368,9.666186703,9.677049828,9.728748673,10.03308886,10.150535699999999,10.15219719,9.81156192,10.1025396,10.00239244,9.723867913,9.667945475,9.605797087000001,9.816762394,10.01448612,9.91264154,10.08898086,10.45733617,10.03563762,10.28749618,10.26925275,10.27622196,10.57892275,10.69014781,10.6713016,10.06474721,10.09353001,10.0124564,9.958526111,10.06565224,10.009075900000001,9.738534905,9.725742274,9.908007159,9.599323517,9.274240568,9.411857449,9.316996411,9.963921125,9.746994192,9.993661338999999,9.678554443,9.483823172000001
Ga0242637_111005,13.38414783,13.37469643,13.486201600000001,14.04382729,13.999282999999998,13.98657448,13.43760088,13.48971726,13.575355599999998,12.66432465,12.47189022,12.43838088,13.36336253,13.20527376,12.90468483,13.02951589,12.83116441,12.68920108,12.35759623,11.75819775,11.89495764,11.37573397,11.35922892,11.59140945,12.95803272,12.79068562,13.15750308,13.36956556,13.02395012,13.09935887,12.67016462,12.49548717,12.93068694,13.10175933,12.83106243,12.90575285,13.7396967,13.81115231,13.5227266,13.2153434,13.89494254,13.65739166,13.83167938,13.306499800000003,13.65794567,13.708645800000001,13.12522632,13.40820449
Ga0242637_111006,10.53846303,10.56556461,10.50268595,10.69887909,10.68949782,10.8211476,10.21063832,10.26573429,10.29676648,9.730636796,9.280825588999999,9.213711054,10.65293685,10.63443942,10.32498958,10.20058637,10.09208249,10.06578096,8.996813383,8.759054393,8.656180134,9.182899017999999,9.324573127,9.207673352999999,10.39633574,10.14957171,10.50289896,10.39280148,10.29666943,10.31987516,10.18997542,10.11869599,10.21985637,10.25900627,9.871940007000001,10.16836595,10.55586883,10.70246999,10.52306682,10.4464199,10.3325991,10.11203435,10.16648018,10.54598129,10.59798386,10.517750099999999,10.3552612,10.48564177
